event_id,event_name,entity,entity_type,pct_global_CO2_1854_2022,loss_eur_low,loss_eur_central,loss_eur_high
E2,July 2022 Iberian heatwave,Sonatrach,state_owned,0.735,293424.7061199055,293424.7061199055,586849.412239811
E2,July 2022 Iberian heatwave,Rosneft,state_owned,0.75,280475.1704436008,280475.1704436008,560950.3408872016
E2,July 2022 Iberian heatwave,Occidental Petroleum,investor_owned,0.65,253241.90450615986,253241.90450615986,506483.8090123197
E2,July 2022 Iberian heatwave,BHP,investor_owned,0.56,216649.65596629868,216649.65596629868,433299.31193259737
E2,July 2022 Iberian heatwave,Petrobras,state_owned,0.56,211881.87237638648,211881.87237638648,423763.74475277297
E2,July 2022 Iberian heatwave,CONSOL Energy,investor_owned,0.53,205819.1352188438,205819.1352188438,411638.2704376876
E2,July 2022 Iberian heatwave,Nigerian National Petroleum Corp.,state_owned,0.53,200972.86959452974,200972.86959452974,401945.7391890595
E2,July 2022 Iberian heatwave,Czechoslovakia,nation_state,0.49,188710.05171924116,188710.05171924116,377420.1034384823
E2,July 2022 Iberian heatwave,Petronas,state_owned,0.45,179135.2435222158,179135.2435222158,358270.4870444316
E2,July 2022 Iberian heatwave,Eni,investor_owned,0.45,178056.1155491904,178056.1155491904,356112.2310983808
E2,July 2022 Iberian heatwave,QatarEnergy,state_owned,0.42,164910.37478688103,164910.37478688103,329820.74957376206
E2,July 2022 Iberian heatwave,Pertamina,state_owned,0.42,162261.6061258187,162261.6061258187,324523.2122516374
E2,July 2022 Iberian heatwave,Anglo American,investor_owned,0.41,160162.2117055693,160162.2117055693,320324.4234111386
E2,July 2022 Iberian heatwave,Libya National Oil Corp.,state_owned,0.43,159828.66305936142,159828.66305936142,319657.32611872285
E2,July 2022 Iberian heatwave,Arch Resources,investor_owned,0.4,156355.83303707972,156355.83303707972,312711.66607415944
E2,July 2022 Iberian heatwave,Lukoil,investor_owned,0.41,153726.68488461783,153726.68488461783,307453.36976923567
E2,July 2022 Iberian heatwave,Kazakhstan,nation_state,0.39,152431.73131698737,152431.73131698737,304863.46263397473
